refcode,total_charge,multiplicity,splitting,HOMO_eV,LUMO_eV,gap_eV,dipole_moment_Debye
IJEZIJ,1,1,73.41,-8.2112,-4.2596,3.9516,2.6805
IJIGUD,0,6,-60.74,-4.7402,-2.1117,2.6285,8.54813
IJOPED,0,4,-31.74,-4.7715,-1.8985,2.873,7.68082
IJOREG,0,3,-34.15,-4.4685,-2.0723,2.3962,2e-05
IJUDAV,0,1,5.53,-4.8217,-3.0092,1.8125,4.86069
IKERUO,0,4,-35.23,-5.1252,-1.402,3.7232,10.45957
IKIVOO,0,6,-26.27,-4.1712,-2.4345,1.7367,1e-05
IKURAI,0,1,42.61,-5.1769,-2.1099,3.067,2.16909
ILASOE,1,1,84.18,-8.726,-4.8685,3.8575,6.33115
ILATEV,0,3,-39.75,-4.5,-1.4142,3.0858,0.0
ILIJUK,0,4,-20.17,-4.2041,-3.4059,0.7982,33.35168
ILODOD,1,3,-19.38,-8.6963,-6.1246,2.5717,6.64823
ILOLOM,0,5,-52.09,-4.2774,-1.4009,2.8765,6.38105
ILONUV,-2,6,-31.22,2.1143,4.8212,2.7069,1.10441
ILURIR,-3,1,89.69,6.3081,8.2385,1.9304,15.52863
IMACEG,0,5,-33.75,-4.4315,-2.1657,2.2658,7.62729
IMETNI01,1,3,-13.07,-8.3959,-6.4013,1.9946,11.30617
IMUCAX,1,1,67.73,-9.7973,-6.9057,2.8916,3.37394
IMUDOK,0,4,-7.12,-4.4443,-2.2296,2.2147,1.23992
INAZED,0,4,-19.3,-4.5356,-1.7889,2.7467,3.17668
INEDEM,0,5,-56.72,-4.8908,-2.179,2.7118,7.46547
INIFOB,0,4,-17.19,-4.6295,-1.9973,2.6322,3.18358
INIHAP,0,5,-52.76,-4.084,-1.6954,2.3886,2.51045
INILOI,0,3,-28.56,-5.1832,-2.6307,2.5525,1.2016
INUVUJ,0,5,-42.75,-4.899,-2.6907,2.2083,6.46786
INUVUL,1,2,64.09,-8.7532,-6.1521,2.6011,3.58135
INUXEV,0,5,-38.77,-4.1478,-1.5825,2.5653,2.94135
IPEPNI,0,1,22.13,-4.8381,-2.1683,2.6698,1e-05
IPIBUE,0,6,-45.98,-5.3008,-2.0818,3.219,1e-05
IPIYEM,0,1,41.41,-3.9157,-1.353,2.5627,3.00112
IPOFUR,0,2,46.25,-4.4324,-1.4295,3.0029,1.62324
IPOROX,0,1,105.99,-5.6093,-1.5877,4.0216,5.43586
IREWEK,2,3,-32.67,-11.2842,-8.5035,2.7807,7.06299
IROJEF,0,5,-58.02,-3.7497,-1.874,1.8757,11.96806
IRONOS,1,6,-47.75,-7.5173,-5.4082,2.1091,8.34018
ISALNI,0,3,-25.98,-5.1851,-2.5133,2.6718,3.74084
ISIBIW,0,5,-41.25,-5.0185,-3.8343,1.1842,8.80723
ISIKEA,-1,6,-51.29,-3.3158,-0.1347,3.1811,0.12289
ISIPUV,0,1,34.58,-4.8908,-2.8327,2.0581,9.62277
ISIYAK,0,1,132.99,-4.0592,0.0239,4.0831,4.72184
ISOWOC,0,1,144.11,-5.6135,-1.6361,3.9774,4.9009
ITARIF,0,1,48.93,-3.9154,-1.9877,1.9277,3.77929
ITERAB,0,5,-24.0,-4.0479,-2.3639,1.684,19.10795
ITEREF,0,5,-50.29,-4.6554,-2.2379,2.4175,10.23737
ITERIJ,0,6,-46.22,-4.3591,-2.4529,1.9062,19.97939
ITEXAH,1,1,36.96,-7.597,-4.8712,2.7258,4.17112
ITEXIO,-1,5,-54.27,-1.4358,0.8149,2.2507,5.05778
ITEXOU,-1,1,78.24,-1.7808,0.9144,2.6952,4.53585
ITITOU,0,1,29.76,-4.607,-2.1894,2.4176,10.85535
ITOQIS,0,3,-13.21,-5.0376,-2.5543,2.4833,1e-05
IVEQEF,0,5,-26.89,-4.1602,-1.5459,2.6143,0.0
IVILUV,0,1,48.45,-4.9292,-1.8607,3.0685,6.79609
IVOSAO,2,6,-12.05,-11.3384,-9.0992,2.2392,5.34709
IVOSES,2,6,-12.33,-11.3273,-9.0917,2.2356,5.26415
IVUQOH,0,4,-22.25,-4.1286,-1.5075,2.6211,5.36171
IVUTEY,0,3,-22.35,-5.0679,-3.2538,1.8141,6.07302
IWORIX,2,5,-32.97,-10.2029,-8.026,2.1769,0.0
IWOWEX,0,6,-54.79,-3.3604,-0.8335,2.5269,25.31657
IXAQII,0,5,-42.45,-4.1034,-1.819,2.2844,6.92694
IXARAB,0,5,-48.28,-3.9328,-1.9589,1.9739,5.53868
IXAROP,0,5,-50.04,-4.3952,-1.8655,2.5297,6.49878
IXASAC,0,5,-62.11,-4.5528,-2.1056,2.4472,7.20639
IXEPAE,0,6,-48.52,-4.6384,-2.0923,2.5461,10.60769
IXEPIM,0,4,-12.2,-4.4802,-2.8841,1.5961,18.73732
IXEQAF,0,4,-9.6,-5.0418,-2.3505,2.6913,10.76735
JACCUP,0,1,85.92,-4.1411,-0.4536,3.6875,3.86791
JADGOK,1,2,37.21,-9.0075,-7.2284,1.7791,1e-05
JADKII,0,1,44.99,-4.482,-1.8219,2.6601,2.28823
JAFVOB,-1,5,-59.43,-1.1727,2.4355,3.6082,3.46015
JAGGED,0,1,125.14,-5.6711,-2.2713,3.3998,7.92124
JAHBID,0,6,-37.34,-4.3116,-1.5123,2.7993,0.0
JAPLUI,0,5,-41.3,-4.5179,-3.3602,1.1577,10.70786
JAPRUN,0,4,-24.52,-5.7729,-3.0719,2.701,0.58455
JAPTAV,0,3,-30.05,-5.7672,-3.2981,2.4691,0.70879
JARKIX,0,3,-18.6,-5.1039,-3.5026,1.6013,0.27504
JASBOV,0,5,-29.24,-4.3799,-1.758,2.6219,2.90525
JASCEL,-3,4,-22.22,5.102,8.7609,3.6589,0.37078
JASLEU,1,2,27.78,-8.8971,-5.3355,3.5616,13.34469
JASRIF,0,1,145.61,-5.5506,-1.1747,4.3759,6.05478
JAVLOK,0,3,-12.69,-4.8409,-3.1685,1.6724,6.67315
JAWSUY,0,4,-27.95,-5.3765,-3.356,2.0205,10.30952
JAXFIX,0,1,44.03,-5.0188,-1.5601,3.4587,5.15736
JAYNAB,0,1,113.91,-5.0064,-1.3899,3.6165,2.81325
JAZCAO,0,5,-17.08,-4.9451,-2.3601,2.585,0.0
JECBEZ,0,1,66.32,-4.1663,-1.5957,2.5706,4.87425
JEDJAE,-5,5,-56.1,12.8197,16.0156,3.1959,0.61581
JEJTUN,0,6,-69.09,-4.1171,-1.5618,2.5553,15.16807
JELSIC,1,1,132.29,-8.6018,-4.4156,4.1862,6.24711
JEPNUO,0,4,-9.71,-4.8808,-2.1906,2.6902,0.66506
JEPPOM,0,4,-19.81,-4.4469,-1.8122,2.6347,8.47976
JEQNOJ,1,4,-39.78,-7.9804,-5.1549,2.8255,16.06199
JEWNEF,1,1,14.31,-7.9374,-5.608,2.3294,4.13617
JEXKED,0,6,-47.96,-3.9213,-1.8782,2.0431,6.43682
JEXKIH,0,5,-37.24,-4.0539,-1.6399,2.414,5.62766
JIHPAR,-3,2,108.28,4.7908,6.9009,2.1101,1e-05
JIKPAX,1,6,-11.86,-9.1993,-7.1401,2.0592,10.25932
JILVAB,0,1,142.75,-5.4603,-1.3021,4.1582,4.94622
JIPDUI,0,6,-49.62,-4.8766,-1.1949,3.6817,1.09898
JITWOZ,2,4,-11.26,-11.456,-8.9606,2.4954,3.95715
JITWUF,2,1,27.88,-11.2625,-7.854,3.4085,3.6816
JIVFID,0,3,22.57,-3.9021,-1.4202,2.4819,2.19842
JIVQEL,0,1,20.63,-4.9391,-2.6065,2.3326,2.92768
JIWFUQ,0,6,-21.94,-5.0441,-2.7791,2.265,6.0766
JIWMIL,0,6,-23.94,-5.0091,-2.752,2.2571,5.95915
JIWRIQ,-1,4,-32.45,-3.2181,-0.4052,2.8129,0.82656
JIWWUI,0,2,30.09,-4.7663,-2.0466,2.7197,3.05978
JIXLAD,0,6,-49.97,-4.1938,-2.1802,2.0136,8.35512
JIXLEH,0,5,-57.94,-3.9514,-1.0657,2.8857,5.64856
JIYYIA,0,3,-29.4,-4.9265,-2.6707,2.2558,4.76782
JIZNEM,0,1,58.82,-4.388,-1.8223,2.5657,17.38051
JIZQUG,0,6,-64.51,-4.8385,-0.9295,3.909,6.90822
JOBBAF,0,5,-66.25,-4.3146,-1.2615,3.0531,9.1551
JOBJUI,0,6,-76.11,-4.8509,-0.099,4.7519,14.03647
JODGIT,0,4,-10.98,-6.0706,-2.8703,3.2003,1e-05
JODGOZ,0,3,-44.29,-6.1814,-2.5138,3.6676,0.0
JODNEV,0,1,111.74,-5.7744,-2.1989,3.5755,3.16518
JODWII,0,3,13.99,-3.3561,-1.4794,1.8767,4.09811
JODWUU,0,3,25.75,-3.9218,-1.3107,2.6111,5.80824
JOJWAG,0,1,60.25,-4.0609,-0.938,3.1229,4.3762
JOMNAA,2,4,-44.39,-13.1155,-8.9053,4.2102,6.93504
JONMEE,0,1,145.41,-6.6308,-3.1867,3.4441,0.82876
JORKAC,1,1,73.11,-9.8775,-6.3338,3.5437,5.55785
JOTNIS,0,6,-58.39,-4.0837,-2.057,2.0267,13.82106
JOWGEH,2,1,61.46,-12.5149,-9.7966,2.7183,0.0008
JOXCOQ,0,6,-46.75,-4.3032,-2.6335,1.6697,12.97188
JOXJAH,2,6,-70.0,-11.7761,-7.2847,4.4914,0.00117
JOYXAW,2,4,-37.75,-11.2379,-7.54,3.6979,1.44258
JUCJID,-2,6,-79.62,1.1745,5.3211,4.1466,0.11371
JUDRAD,0,6,-18.49,-5.9484,-4.4914,1.457,10.74055
JUGHAU,-2,1,31.66,1.6514,3.8467,2.1953,0.0
JUHQIM,-1,1,118.34,-1.379,1.7072,3.0862,2.80614
JUHTIP,0,2,26.83,-4.3907,-2.1222,2.2685,0.99083
JULFAX,0,1,119.22,-6.3022,-2.5027,3.7995,8.61883
JUNGEH,2,4,-8.62,-12.6504,-9.5038,3.1466,0.03052
JUQDAA,-1,5,-51.09,-1.683,0.4095,2.0925,9.45833
JURHIN,-1,6,-25.89,-1.3207,0.8425,2.1632,0.00771
JUVYOO,0,5,-49.84,-4.1193,-2.6247,1.4946,5.78483
JUWGUD,0,5,-56.97,-4.0219,-1.8261,2.1958,10.10007
JUWHAK,0,6,-42.0,-5.8982,-3.7184,2.1798,11.00787
KAFLUA,0,6,-31.22,-5.9913,-4.4416,1.5497,2.48351
KAGCIH,-1,4,6.54,-1.9975,-0.2389,1.7586,8.13873
KAGHOS,-1,3,-40.07,-0.5663,2.7605,3.3268,1e-05
KAGJOU,0,6,-63.6,-5.089,-2.2789,2.8101,2e-05
KAGLUA,-2,4,-16.64,1.9981,5.2516,3.2535,1e-05
KAGRES,-1,4,10.12,-1.9482,0.0224,1.9706,5.83989
KAGXID,0,1,75.08,-4.0266,-2.4557,1.5709,6.15658
KAGXUP,1,2,94.15,-7.7442,-6.3905,1.3537,4.13992
KAHDOP,0,3,-14.5,-5.7156,-2.3025,3.4131,1e-05
KAJHUC,0,1,32.23,-4.6863,-1.6036,3.0827,6.64815
KAJTOE,0,6,-41.04,-6.8691,-3.9736,2.8955,1.97023
KAKVUO,1,1,79.7,-8.9198,-5.3772,3.5426,8.2088
KANYON,1,1,34.79,-8.7024,-5.4492,3.2532,5.75212
KAPJAO,3,6,-24.11,-22.583,-18.8122,3.7708,0.0
KAPPEW,0,5,-63.27,-5.3428,-3.3909,1.9519,3.60519
KAWCIU,0,5,-48.47,-4.6217,-3.1392,1.4825,12.19913
KAWFET,0,1,70.17,-5.4079,-1.2895,4.1184,6.24326
KAWKIE,2,5,-43.27,-9.753,-7.3912,2.3618,0.09423
KAXMEB,0,5,-55.33,-4.9362,-3.6652,1.271,0.40576
KAXMIF,0,5,-17.99,-5.7726,-3.6714,2.1012,0.00345
KAXXIR,0,3,-30.68,-4.5398,-1.3337,3.2061,13.40899
KAXYUE,0,1,31.59,-4.3964,-2.7012,1.6952,4.64921
KEBXOG,0,3,-24.64,-5.2112,-2.7451,2.4661,4.66735
KEFLUD,-3,6,-16.2,2.3483,4.3429,1.9946,0.7139
KEFQES,1,6,-46.12,-7.6969,-5.3298,2.3671,11.99739
KEFQOC,1,6,-49.99,-7.6011,-5.3368,2.2643,13.76136
KEFYAV,1,4,-51.97,-10.3557,-5.808,4.5477,0.26063
KEGRET,0,1,37.71,-4.7505,-1.1123,3.6382,0.60242
KEHJAK,1,2,58.7,-8.217,-4.6562,3.5608,1.80908
KEHJOY,0,1,74.87,-4.6501,-1.7318,2.9183,8.04251
KEHKOX,0,1,83.63,-4.4972,-1.8397,2.6575,6.45474
KEHREU,0,1,142.93,-5.2581,-1.3367,3.9214,4.56884
KEHREV,2,5,-46.6,-10.8125,-7.9605,2.852,0.61986
KEJTAV,-1,6,-59.83,-1.5882,1.9266,3.5148,0.75129
KELXUU,0,5,-54.13,-4.313,-2.1454,2.1676,8.3545
KEQVAD,0,1,90.62,-4.5672,-1.7745,2.7927,2.04591
KESFEV,0,6,-63.69,-4.1947,-2.5139,1.6808,11.27033
KETVEL,1,6,-6.01,-8.2552,-6.4193,1.8359,7.50984
KEVHIC,-1,2,32.08,-2.3482,-0.5053,1.8429,0.56924
KEXWIT,0,3,-12.7,-5.1248,-1.924,3.2008,7.01516
KEZRIR,1,3,-25.0,-7.3847,-5.3397,2.045,6.18379
KIBBED,1,1,40.67,-8.1465,-5.1527,2.9938,3.36897
KIDMEQ,0,3,-34.95,-5.0197,-1.9553,3.0644,8.48119
KIDRIY,-1,1,83.97,-2.3557,0.2855,2.6412,0.00063
KIFMUK,0,4,-14.43,-4.414,-1.9711,2.4429,10.44554
KIJSUR,0,1,136.67,-4.9944,-1.3404,3.654,8.46076
KIJXAC01,0,1,20.71,-4.114,-1.4991,2.6149,0.0
KIKBEM,0,1,7.25,-5.1405,-2.754,2.3865,1e-05
KIKNUQ,0,5,-42.16,-4.277,-3.3031,0.9739,8.94795
KILBAJ,2,4,-12.51,-11.7172,-8.9616,2.7556,8.32308
KIPLIH,0,1,108.62,-5.2237,-2.1009,3.1228,4.90563
KIQGOG,0,1,39.64,-4.7563,-1.7373,3.019,0.53341
KIQMAB,0,5,-50.47,-4.1639,-2.1201,2.0438,4.77034
KIRDOH,0,4,-13.51,-4.8075,-2.1729,2.6346,2.05671
KIRFAV,0,3,-34.87,-4.9561,-2.2884,2.6677,3.57984
KIRKUR,1,1,84.76,-8.5314,-4.9562,3.5752,7.5859
KIRPAE,2,4,-19.22,-11.8267,-8.9952,2.8315,2.0338
KISKED,1,1,35.02,-8.8866,-5.3772,3.5094,2.71321
KISKIH,0,3,-38.1,-5.1599,-1.7352,3.4247,8.49831
KISKON,1,1,29.71,-9.1431,-5.687,3.4561,3.50324
KISMIJ,-2,5,-65.26,3.841,6.0607,2.2197,0.22002
KITYOE,0,5,-22.68,-4.1482,-1.9144,2.2338,10.11836
KIWQOY,0,4,-40.32,-5.3849,-2.2846,3.1003,7.22381
KIWZAT,0,4,-34.57,-5.3281,-2.029,3.2991,7.04967
KIYWAR,0,6,-69.97,-4.359,-0.1954,4.1636,2.72339
KOBREZ,0,3,-33.11,-4.4053,-1.8951,2.5102,3.90501
KOBTOL,0,1,53.86,-4.5575,-1.4754,3.0821,3.69721
KOBYIK,0,3,-22.12,-4.8336,-2.889,1.9446,0.18804
KOCNUM,0,1,42.24,-5.1089,-2.0017,3.1072,10.9235
KOCXEG,2,3,25.3,-13.4629,-11.8229,1.64,6.23793
KOGFET,0,1,133.77,-6.4985,-2.6166,3.8819,3.28651
KOHMAW,0,1,49.18,-5.0908,-1.3196,3.7712,2.78652
KOHMEA,0,2,48.97,-5.6425,-3.4682,2.1743,4.69905
KOLZAN,0,4,-21.77,-5.4473,-1.8993,3.548,16.34867
KOQBAT,0,1,153.5,-5.4726,-1.5707,3.9019,7.3673
KOTBAW,2,3,-26.29,-12.5571,-9.4287,3.1284,0.0
KOZYED01,0,4,-30.11,-3.9977,-1.1682,2.8295,8.26607
KOZZEE01,0,6,-71.63,-4.8397,-0.7435,4.0962,8.19211
KUBGOD,0,1,151.41,-5.9164,-1.7343,4.1821,3.24686
KUBHIZ,0,3,-26.64,-5.5353,-3.5254,2.0099,11.50373
KUGNEG,1,1,112.91,-10.5492,-5.9108,4.6384,4.75205
KUGWIT,0,5,-45.74,-4.7101,-2.4716,2.2385,3.73789
KUGXIU,0,5,-43.52,-4.3066,-1.8854,2.4212,8.95659
KUGXOA,0,5,-35.59,-4.5584,-2.1254,2.433,7.8605
KUGXUG,0,5,-43.76,-4.2012,-1.8053,2.3959,7.69522
KUHJED,1,1,61.63,-8.2439,-4.9243,3.3196,3.22863
KULBUO,0,3,-27.69,-4.5624,-2.7331,1.8293,8.08335
KULMIQ,1,1,63.78,-7.5196,-5.1914,2.3282,6.04506
KUSPUJ,0,4,-22.32,-4.991,-1.3894,3.6016,5.71753
KUVWOQ,0,1,114.15,-3.8054,-1.2487,2.5567,6.05022
KUWWAC,0,4,-25.35,-5.1251,-3.7276,1.3975,10.67209
LADCIC,0,3,12.69,-4.8316,-2.9708,1.8608,5.02784
LADCOI,0,3,6.01,-4.7985,-2.9083,1.8902,4.32453
LADXIY,0,6,-45.99,-3.8714,-0.9232,2.9482,7.53144
LAJYUR,0,4,-27.1,-4.7346,-3.0726,1.662,9.40617
LALBUV,0,1,78.21,-5.3622,-2.2656,3.0966,5.82638
LALDEH,-3,6,-56.99,4.8726,7.3407,2.4681,0.21508
LALPET,0,1,29.28,-4.5787,-2.4785,2.1002,14.47817
LAMLOC,-2,1,23.11,2.1392,4.6011,2.4619,0.0
LAMXAA,0,3,-26.8,-5.1425,-2.8938,2.2487,3.91113
LAPNIZ,0,1,67.44,-4.576,-1.7793,2.7967,7.25278
LAPYAC,0,2,46.95,-4.7938,-2.4533,2.3405,0.30363
LAQJIX,0,1,42.79,-5.1883,-2.7599,2.4284,3.23785
LASXIM,0,1,132.14,-4.7536,-1.9576,2.796,6.56096
LAVKEA,1,4,-21.48,-7.2769,-5.3935,1.8834,14.52208
LAXFAR,1,1,66.89,-8.2469,-5.5432,2.7037,3.66897
LAXNON,2,1,49.71,-11.8289,-8.0656,3.7633,0.0
LAXNUT,2,1,53.52,-11.9764,-8.0562,3.9202,2.047
LAYMEF,-2,2,18.02,1.8188,3.9913,2.1725,0.41852
LAYNEF,0,1,101.45,-4.4872,-1.412,3.0752,2.65803
LAYVOX,1,5,-37.98,-7.2443,-5.0603,2.184,6.09781
LDHPCR10,0,4,-33.98,-4.9234,-1.6416,3.2818,9.25479
LEDQUH,0,3,-22.29,-4.9788,-2.1652,2.8136,7.04602
LELDUE,1,4,-24.84,-8.5907,-5.31,3.2807,9.14353
LELLAQ,0,4,-11.82,-5.3227,-2.9104,2.4123,12.22314
LEMRIF,0,5,-51.75,-3.9803,-1.5039,2.4764,9.30693
LEMVOQ,0,1,25.68,-4.9406,-1.7276,3.213,0.58448
LEPSEF,1,6,-36.27,-7.021,-5.6391,1.3819,10.19295
LEPYOV,0,1,11.56,-6.2436,-3.3464,2.8972,0.0
LERZOX,0,6,-40.92,-4.0376,-2.8469,1.1907,9.8723
LEWNIN,0,4,-14.81,-5.4337,-3.1897,2.244,7.6785
LEXQAG,0,6,-46.95,-4.578,-0.7064,3.8716,4.86501
LEYSEN,1,4,-22.51,-8.7249,-5.1476,3.5773,5.99609
LEZQUC,2,1,57.76,-12.0823,-8.0907,3.9916,0.0
LIFVOM,0,3,-20.88,-4.734,-2.7043,2.0297,9.05714
LIGBUA,0,1,29.71,-4.9222,-2.0302,2.892,5.3069
LIJBUB,0,2,66.22,-4.7416,-2.8544,1.8872,11.2796
LILBOY,0,6,-38.84,-4.4786,-2.7528,1.7258,8.39388
LILLEZ,0,5,-52.26,-5.1028,-2.6166,2.4862,10.06681
LILYOW,1,5,-29.84,-7.3274,-5.424,1.9034,8.46806
LILZAJ,1,6,-35.62,-7.3009,-4.9405,2.3604,7.34669
LINROQ,1,1,50.55,-7.5987,-4.6335,2.9652,9.49488
LINRUW,1,5,-22.89,-7.2719,-5.0215,2.2504,10.53528
LINSOR,1,3,-41.45,-8.602,-5.2597,3.3423,6.80982
LISJEC,0,1,40.45,-4.4309,-1.3253,3.1056,3.03338
LIWSIT,0,2,74.79,-4.019,-1.847,2.172,4.24159
LIXMOX,0,3,-25.01,-4.9747,-2.8794,2.0953,1.26069
LIXMUD,0,3,-24.72,-4.9763,-2.9391,2.0372,1.49782
LIYCUU,2,3,-39.3,-11.942,-8.5971,3.3449,2.35616
LIYMAH,2,3,-40.83,-13.2535,-9.7075,3.546,3.24004
LODBEL,0,3,-29.03,-4.2965,-1.8813,2.4152,5.81465
LODFAL,0,1,51.2,-4.26,-0.2743,3.9857,1.76848
LODYOS,0,2,23.37,-4.5205,-1.7164,2.8041,4.03046
LOGKEZ,1,2,19.79,-8.1564,-6.698,1.4584,3.13835
LOJVEN,0,5,-18.37,-3.5435,-2.6975,0.846,15.09454
LOLTOV,0,6,-57.31,-5.3717,-3.3041,2.0676,9.16983
LONGAW,0,3,-34.76,-5.4196,-2.6925,2.7271,3.26395
LONGEA,0,3,-31.79,-5.3881,-2.6652,2.7229,5.24996
LONRUC,1,4,-22.54,-9.6263,-6.2165,3.4098,1.39075
LOPXOD,0,1,39.75,-6.4277,-4.3589,2.0688,0.17851
LOQLOS,0,4,8.54,-4.7783,-2.9335,1.8448,5.8883
LOSHOS,0,3,-43.24,-5.5114,-3.2343,2.2771,0.0
LOVBUT,1,1,129.73,-9.3676,-5.0896,4.278,2.30921
LOXSAS,0,4,-36.81,-5.2448,-2.1159,3.1289,4.82121
LOXSIA,0,2,23.98,-5.2899,-2.9361,2.3538,1.91003
LOXWUQ,-1,6,-16.84,-2.2273,-0.3162,1.9111,7.53159
LOYYUT,0,6,-46.79,-4.7232,-3.0753,1.6479,8.51353
LOZTEC,0,4,-20.98,-7.0235,-3.4266,3.5969,8.79973
LOZWIJ,0,5,-56.47,-3.5698,-0.8367,2.7331,0.00094
LOZXOQ,1,4,-40.36,-7.6718,-4.8353,2.8365,4.82377
LUBPOQ,0,4,-17.46,-4.3002,-2.0927,2.2075,5.21102
LUCYOX,0,1,59.64,-4.9887,-1.3734,3.6153,0.0
LUGDUM,0,4,-21.72,-5.137,-1.0703,4.0667,10.08461
LUGPAE,0,5,-39.99,-4.9194,-2.3465,2.5729,5.46876
LUHHAA,0,1,95.38,-3.7157,-1.5606,2.1551,9.15468
LUHPIO,1,1,22.19,-7.4822,-4.8069,2.6753,6.95503
LUJPAI,1,2,32.89,-8.3768,-6.7516,1.6252,18.59507
LUJREN,-1,1,51.1,-2.8171,1.0032,3.8203,3.0538
LUJROX,0,1,68.41,-6.8112,-3.5008,3.3104,5.33137
LULDOM,-3,3,-30.18,2.7888,5.7881,2.9993,0.18916
LUMVEU,2,3,-26.85,-12.9027,-9.647,3.2557,0.00763
LUNGOS,0,5,-39.11,-4.4125,-2.086,2.3265,4.60153
LUTFAJ,0,1,63.53,-4.6244,-2.1227,2.5017,2.72865
LUVYAD,0,1,70.3,-5.0571,-1.1062,3.9509,0.52492
LUWCIP,0,4,-13.6,-4.1727,-3.0387,1.134,2e-05
LUWCUB,0,3,-29.62,-4.2098,-2.9611,1.2487,0.0
LUWDAI,0,3,-26.78,-4.3077,-3.0976,1.2101,2e-05
LUYBEP,-1,6,-74.85,-2.2055,-0.5816,1.6239,7.88489
LUYMAU,0,3,-23.08,-5.5592,-2.9036,2.6556,9.42787
LUYXEJ,0,5,-55.01,-4.1429,-2.2992,1.8437,2.95058
LUYXUZ,0,5,-35.9,-4.5426,-2.1595,2.3831,3.29016
LUZXEL,0,3,-25.38,-5.4632,-2.7518,2.7114,6.98946
MABHAZ,0,1,126.17,-5.7534,-1.5084,4.245,3.77641
MABLUA,1,1,81.05,-8.1116,-4.7696,3.342,5.25543
MACPUC,0,1,118.29,-5.7777,-1.937,3.8407,4.65878
MACRCC,2,4,-23.28,-13.6572,-9.4479,4.2093,8.72257
MACZEW,0,1,143.5,-5.5711,-1.992,3.5791,6.8558
MADLOV,0,6,-36.63,-5.6339,-4.1072,1.5267,5.29476
MAENCO,2,1,55.98,-12.7518,-9.5508,3.201,5.03047
MAFECL,-4,5,-27.76,12.2593,14.6667,2.4074,0.01655
MAGGEK,0,1,27.88,-4.5534,-2.1199,2.4335,3.25854
MAHNOZ,0,6,-34.94,-5.625,-3.4364,2.1886,12.86114
MAJCAC,0,3,-27.05,-5.3354,-3.0419,2.2935,8.26287
MAJWUT,0,1,36.86,-4.9109,-1.9578,2.9531,5.76287
MAJYOM,-2,3,-9.48,2.7048,5.298,2.5932,0.0
MAJYUS,-1,3,27.54,-1.6364,0.101,1.7374,0.6534
MAKBUW,-1,4,13.55,-1.8303,-0.394,1.4363,0.12246
MAKPIX,1,1,50.2,-10.1888,-6.6689,3.5199,1.20679
MAKPOD,1,1,53.72,-10.0161,-6.796,3.2201,1.26766
MALGAI,0,1,141.06,-4.1756,-1.2021,2.9735,4.04326
MALGIQ,1,1,134.9,-8.8793,-3.798,5.0813,2.98699
MALNET,0,1,68.08,-5.3197,-2.5962,2.7235,5.63081
MALVUQ,0,1,20.45,-4.3446,-1.5104,2.8342,2.58089
MAMCOS,1,6,-46.88,-7.5462,-4.9088,2.6374,7.75461
MANHAM,-2,4,4.93,0.64,2.4462,1.8062,6.8601
MANHEQ,-2,4,7.69,0.6519,2.5901,1.9382,0.52129
MARJIZ,1,5,-39.89,-7.1989,-5.9034,1.2955,4.3193
MASNUR,0,5,-37.69,-4.3241,-1.9168,2.4073,6.37911
MASPAZ,0,5,-44.63,-4.4191,-2.1553,2.2638,5.53243
MASPED,0,5,-46.35,-4.2113,-1.9262,2.2851,7.90029
MATFUL,0,5,-41.46,-4.6665,-3.1342,1.5323,20.91472
MAWLOL,1,1,60.23,-8.5883,-4.7513,3.837,4.62949
MAXZOC,0,3,-21.73,-3.6742,-1.8666,1.8076,3.0077
MAZOCT,0,3,-32.15,-4.8833,-2.0948,2.7885,18.5957
MCEACR,1,4,-39.51,-8.3873,-5.0395,3.3478,0.39623
MCENCR,1,4,-22.33,-8.405,-5.2207,3.1843,13.72723
MCPTCO,0,4,-16.73,-4.9086,-2.2666,2.642,1.89958
MCYSCO,1,1,57.36,-9.6753,-6.8689,2.8064,9.9458
MECPCO,0,1,43.55,-5.196,-2.3576,2.8384,6.86548
MEDCAA,0,2,27.95,-4.7291,-3.3319,1.3972,1.01766
MEDCEE,-1,1,16.96,-1.0144,0.8921,1.9065,4.62286
MEDCOO,-1,1,26.71,-1.5151,0.9367,2.4518,10.52796
MEDCUU,0,1,24.91,-4.166,-1.8598,2.3062,3.04985
MEHBAC,0,1,103.27,-4.4412,-1.1218,3.3194,9.17803
MEHKOA,-2,3,-43.42,0.7814,3.1448,2.3634,6.48806
MEHNOC,0,3,-41.07,-5.2332,-1.8664,3.3668,2.99601
MEIMMN,0,6,-61.51,-3.912,-0.6596,3.2524,17.51005
MEJYOS,-2,5,-71.08,2.0674,4.1885,2.1211,0.07706
MEJZAF,0,5,-55.81,-4.052,-1.6036,2.4484,7.07285
MENWUY,0,5,-13.86,-4.3056,-2.11,2.1956,1e-05
MERECO,0,4,-12.19,-4.621,-1.9244,2.6966,5.45011
MESROU,-1,6,-57.38,-2.8213,0.9769,3.7982,0.00158
METGOH,0,4,-34.88,-5.4818,-2.1881,3.2937,9.19463
METGUN,0,4,-32.6,-5.5385,-2.4563,3.0822,9.15202
METYEQ,0,5,-19.41,-3.9591,-1.8836,2.0755,0.0
MHPCOB01,0,1,44.07,-5.0747,-0.9796,4.0951,0.55957
MICHOV,0,1,80.99,-5.3825,-2.5251,2.8574,7.36373
MIDJOY,1,2,46.94,-7.9682,-5.6933,2.2749,6.84187
