refcode,total_charge,multiplicity,HOMO_Ha,LUMO_Ha,gap_Ha,dipole_moment_Debye
NESJEB,0,1,-0.19968,-0.12542,0.07426,9.8743
NESJIF,0,1,-0.1972,-0.12485,0.07235,10.1202
NESSUC,0,1,-0.19869,-0.09381,0.10488,1.3417
NEWMIN,0,1,-0.22258,-0.09259,0.12999,9.3259
NEXFUU,0,1,-0.1945,-0.09579,0.09871,9.3094
NEXGEF,0,1,-0.2103,-0.03948,0.17082,7.6609
NEXHOO,0,1,-0.16726,-0.08355,0.08371,4.4059
NEXHUU,0,1,-0.19987,-0.08938,0.11049,5.3549
NEXJEG,0,1,-0.17081,-0.07113,0.09968,2.1298
NEXJIK,0,1,-0.18267,-0.08817,0.0945,4.9459
NEXKEH,0,1,-0.16886,-0.0455,0.12336,1.7105
NEXKIL,0,1,-0.18085,-0.05024,0.13061,5.1145
NEYYEX,1,1,-0.27618,-0.21608,0.0601,0.0007
NIBCIM,0,1,-0.17816,-0.08686,0.0913,13.9439
NICGAJ,0,1,-0.16727,-0.07327,0.094,5.6751
NICGEN,0,1,-0.16544,-0.07308,0.09236,6.7725
NICGIR,0,1,-0.15918,-0.06073,0.09845,3.8649
NICGOX,0,1,-0.15964,-0.06448,0.09516,3.5856
NICGUD,0,1,-0.16986,-0.07408,0.09578,4.3923
NICNOD,0,1,-0.20701,-0.07908,0.12793,8.0233
NICNUJ,0,1,-0.20947,-0.08013,0.12934,7.0603
NIDFEM,0,1,-0.17575,-0.09101,0.08474,2.1422
NIHTIK,0,1,-0.17846,-0.10346,0.075,4.2273
NIHXUY,1,1,-0.2725,-0.19598,0.07652,7.05
NIKGAQ,0,1,-0.19706,-0.08155,0.11551,5.8863
NIKMOJ,0,1,-0.21078,-0.12145,0.08933,0.0104
NIKNAW,0,1,-0.21076,-0.12151,0.08925,0.0056
NIKRUX,0,1,-0.16761,-0.06179,0.10582,2.2471
NIKSUY,0,1,-0.19469,-0.08202,0.11267,2.9853
NILFEU,0,1,-0.1818,-0.10419,0.07761,14.6213
NILGEV,0,1,-0.19581,-0.11408,0.08173,3.1045
NIMCOC,0,1,-0.20341,-0.09406,0.10935,13.7236
NIMTIO,0,1,-0.18274,-0.10684,0.0759,19.9605
NIMTUA,0,1,-0.15491,-0.10208,0.05283,13.7502
NIPKOO,1,1,-0.24133,-0.18189,0.05944,23.0009
NIPTIS,1,1,-0.31669,-0.12568,0.19101,0.0965
NIRMUY,1,1,-0.30534,-0.18828,0.11706,4.0295
NISHOP,0,1,-0.18791,-0.12995,0.05796,18.3337
NITJAB,0,1,-0.17194,-0.05158,0.12036,4.7292
NIWNOX,0,1,-0.20038,-0.09603,0.10435,6.08
NIWPOA,0,1,-0.18755,-0.06587,0.12168,3.5068
NIWPUG,0,1,-0.17351,-0.06164,0.11187,2.5687
NIYJUA,0,1,-0.17564,-0.08035,0.09529,0.002
NIYRAQ,0,1,-0.17081,-0.06196,0.10885,5.2223
NIYREV,0,1,-0.16645,-0.0783,0.08815,4.2935
NIYRIZ,0,1,-0.1704,-0.0698,0.1006,3.1437
NIYWAW,0,1,-0.18458,-0.10454,0.08004,8.1041
NIYZED,0,1,-0.19547,-0.07596,0.11951,3.6144
NIYZIH,0,1,-0.19017,-0.07236,0.11781,2.717
NIYZON,0,1,-0.21117,-0.09613,0.11504,0.7996
NIYZUT,0,1,-0.20566,-0.09267,0.11299,2.4364
NIZHUB,1,1,-0.2845,-0.1388,0.1457,0.4154
NIZJEN,1,1,-0.27245,-0.14052,0.13193,0.5486
NIZJIR,1,1,-0.27883,-0.12617,0.15266,0.4091
NOBHAQ,0,1,-0.19935,-0.10548,0.09387,18.5114
NOBJIZ,0,1,-0.21259,-0.1231,0.08949,9.7729
NOBJOF,1,1,-0.3186,-0.21019,0.10841,11.3435
NOBKAS,1,1,-0.32413,-0.21512,0.10901,12.1158
NOBKEW,1,1,-0.32218,-0.21349,0.10869,9.994
NOBKIA,1,1,-0.32577,-0.21879,0.10698,5.6751
NOBKOG,1,1,-0.3232,-0.21667,0.10653,13.3297
NOBYOU,0,1,-0.20851,-0.15787,0.05064,0.0592
NOCCAL,0,1,-0.19059,-0.14701,0.04358,20.983
NOCCEP,0,1,-0.18901,-0.14805,0.04096,21.6748
NOCGAN,0,1,-0.20837,-0.12826,0.08011,4.4329
NOCSIH,0,1,-0.19334,-0.1548,0.03854,12.702
NODNEA,0,1,-0.20735,-0.04863,0.15872,11.2894
NODNIE,0,1,-0.1993,-0.05257,0.14673,7.9418
NODNOM,0,1,-0.18464,-0.06614,0.1185,6.7836
NOEPOR,0,1,-0.1762,-0.07956,0.09664,0.0016
NOFHIA,0,1,-0.18073,-0.06053,0.1202,4.5024
NOFTUX,0,1,-0.19638,-0.13241,0.06397,13.6006
NOGWEN,0,1,-0.18658,-0.10177,0.08481,1.852
NOHPIL,0,1,-0.18384,-0.06911,0.11473,1.6407
NOHZER,0,1,-0.16926,-0.05625,0.11301,0.005
NOJBAQ,0,1,-0.21581,-0.1084,0.10741,10.5295
NOLGUS,0,1,-0.16906,-0.06586,0.1032,1.1684
NOLXUH,0,1,-0.16255,-0.08119,0.08136,0.5611
NOMXEV,0,1,-0.16394,-0.07263,0.09131,6.2194
NOMXOE,-1,1,-0.07153,0.00167,0.0732,8.7752
NOMXOF,0,1,-0.18883,-0.08883,0.1,9.485
NONPAI,0,1,-0.16801,-0.10127,0.06674,9.3013
NONPEM,0,1,-0.1663,-0.10313,0.06317,9.9495
NONQUE,1,1,-0.27578,-0.17221,0.10357,1.8853
NOPFIJ,0,1,-0.18632,-0.04943,0.13689,5.245
NOPFUV,0,1,-0.18723,-0.06639,0.12084,5.8503
NOPHAC,0,1,-0.16866,-0.04625,0.12241,0.0127
NOPNEO,0,1,-0.17313,-0.11059,0.06254,1.5164
NOPNIQ,1,1,-0.2722,-0.18379,0.08841,3.8091
NOPSAP,0,1,-0.19966,-0.08393,0.11573,2.0688
NOPSET,0,1,-0.19361,-0.07896,0.11465,0.1003
NOPSIX,0,1,-0.19853,-0.08377,0.11476,1.8262
NOPTAQ,0,1,-0.19781,-0.08361,0.1142,1.8359
NOQMOW,0,1,-0.15857,-0.06436,0.09421,3.2551
NORLEL,0,1,-0.18593,-0.08478,0.10115,1.0044
NORRET,0,1,-0.20741,-0.06407,0.14334,9.8155
NOSZAY,0,1,-0.19559,-0.07761,0.11798,4.2868
NOVMAO,1,1,-0.31037,-0.22732,0.08305,4.7912
NOVVUR,0,1,-0.22358,-0.131,0.09258,12.8805
NOVWIG,0,1,-0.22246,-0.12237,0.10009,12.3128
NOXGUE,0,1,-0.20692,-0.03812,0.1688,8.4524
NOXHAL,0,1,-0.21123,-0.0383,0.17293,8.7366
NOXJAN,0,1,-0.18559,-0.0411,0.14449,4.3084
NOXJER,0,1,-0.18511,-0.04008,0.14503,4.1075
NOXQOI,0,1,-0.18478,-0.06979,0.11499,3.6512
NOXQUO,0,1,-0.19065,-0.07601,0.11464,5.6661
NOXREZ,0,1,-0.17873,-0.09372,0.08501,1.3125
NOXRID,0,1,-0.18102,-0.09435,0.08667,1.7919
NOYBEK,0,1,-0.18571,-0.07923,0.10648,6.8159
NUDXUG,0,1,-0.18625,-0.0835,0.10275,10.3369
NUDYAN,0,1,-0.17795,-0.0809,0.09705,12.4886
NUDYER,0,1,-0.18428,-0.08447,0.09981,7.1847
NUHBOH,0,1,-0.18958,-0.08308,0.1065,5.9468
NUKXAU,0,1,-0.18065,-0.10382,0.07683,0.0005
NUMKOX,-1,1,-0.07021,0.00786,0.07807,6.1739
NUMLAK,-1,1,-0.06894,0.00524,0.07418,6.5365
NUMSUL,0,1,-0.18031,-0.09193,0.08838,0.2511
NUMTIA,0,1,-0.15487,-0.08128,0.07359,4.3657
NUPDUZ,0,1,-0.16568,-0.07592,0.08976,1.4147
NUPFAH,0,1,-0.16732,-0.07487,0.09245,1.6999
NUPQOG,0,1,-0.17228,-0.09056,0.08172,7.3014
NUPROH,0,1,-0.16351,-0.07546,0.08805,2.1529
NUPRUN,0,1,-0.16503,-0.07404,0.09099,2.3569
NUQQIB,0,1,-0.19013,-0.11927,0.07086,15.2931
NUQTAW,0,1,-0.18294,-0.0703,0.11264,2.3225
NUQTEA,0,1,-0.18284,-0.07027,0.11257,2.3004
NUQTIE,0,1,-0.18283,-0.07027,0.11256,2.3016
NUQTOK,0,1,-0.18261,-0.07024,0.11237,2.298
NUQTUQ,0,1,-0.18263,-0.07023,0.1124,2.3037
NUTHER,0,1,-0.17618,-0.08899,0.08719,3.3862
NUTKUI,0,1,-0.1506,-0.09002,0.06058,9.2638
NUTWUW,0,1,-0.15229,-0.09878,0.05351,11.0512
NUVWOQ,0,1,-0.16169,-0.10822,0.05347,9.3349
NUWCUF,1,1,-0.2636,-0.15389,0.10971,10.7565
NUXWEK,0,1,-0.18185,-0.09636,0.08549,0.949
NUXWOU,0,1,-0.18333,-0.08838,0.09495,0.9402
OBEVOH,1,1,-0.27755,-0.18732,0.09023,2.9117
OBITIC,1,1,-0.2764,-0.19387,0.08253,7.9121
OBOHAP,0,1,-0.17405,-0.08813,0.08592,9.6734
OBUNIL,0,1,-0.2119,-0.13313,0.07877,9.209
OCADAY,0,1,-0.196,-0.09903,0.09697,10.3927
OCAROZ,0,1,-0.16986,-0.06946,0.1004,5.9226
OCATOE,0,1,-0.16625,-0.0772,0.08905,5.7022
OCINUL,0,1,-0.17266,-0.08525,0.08741,0.0032
OCIRID,0,1,-0.17594,-0.07889,0.09705,0.1934
OCOYOV,0,1,-0.17579,-0.07353,0.10226,0.8932
OCUTEN,0,1,-0.18779,-0.08848,0.09931,9.0867
ODALIR,0,1,-0.18056,-0.094,0.08656,6.6697
ODAWIZ,0,1,-0.18228,-0.084,0.09828,1.4946
ODAWOF,0,1,-0.18221,-0.08384,0.09837,1.4688
ODEBII,1,1,-0.27927,-0.19048,0.08879,5.1404
ODIRID,0,1,-0.16811,-0.09029,0.07782,6.3018
ODIROJ,0,1,-0.16777,-0.09039,0.07738,6.3738
ODIRUP,0,1,-0.16919,-0.0902,0.07899,4.9693
ODISAW,0,1,-0.16814,-0.09033,0.07781,6.2974
ODOYAK,1,1,-0.29369,-0.21042,0.08327,8.9632
ODUGAX,0,1,-0.23164,-0.10416,0.12748,10.5038
OEBPNI,0,1,-0.16462,-0.09201,0.07261,0.9297
OFEPOH,0,1,-0.18909,-0.09327,0.09582,11.5275
OFOREG,0,1,-0.19011,-0.0725,0.11761,2.2758
OGABOQ,0,1,-0.18222,-0.05674,0.12548,10.3508
OGAYAY,1,1,-0.29451,-0.14341,0.1511,5.4093
OGAYOM,1,1,-0.2737,-0.12733,0.14637,0.2236
OGEBEJ,0,1,-0.15993,-0.08854,0.07139,6.933
OGEDOT,0,1,-0.22833,-0.02493,0.2034,0.0046
OGEDUZ,0,1,-0.1982,-0.04191,0.15629,0.0014
OGUWOD,0,1,-0.17486,-0.04979,0.12507,6.8462
OGUWUJ,0,1,-0.17611,-0.05535,0.12076,4.5046
OGUYEV,1,1,-0.27066,-0.17092,0.09974,2.9067
OGUYIZ,1,1,-0.27394,-0.17506,0.09888,2.8154
OHIBOX,0,1,-0.19339,-0.1116,0.08179,8.1256
OHITOP,0,1,-0.18408,-0.10665,0.07743,12.7413
OHUMUB,0,1,-0.21329,-0.08507,0.12822,7.623
OHUNAI,0,1,-0.20971,-0.08213,0.12758,6.37
OHUYUL,0,1,-0.1776,-0.03812,0.13948,4.7863
OJASUO,0,1,-0.18847,-0.09084,0.09763,2.9436
OJATAV,0,1,-0.19763,-0.10182,0.09581,6.7767
OJATEZ,0,1,-0.1955,-0.09982,0.09568,8.1352
OJEMEW,1,1,-0.26017,-0.19334,0.06683,9.7509
OJERUR,0,1,-0.15358,-0.07238,0.0812,7.7973
OJESAY,0,1,-0.15614,-0.0758,0.08034,8.5477
OJOGIE,0,1,-0.17651,-0.07567,0.10084,7.0381
OJONIK,1,1,-0.2848,-0.20712,0.07768,0.6865
OJOXUH,0,1,-0.18719,-0.11022,0.07697,6.5968
OJURIW,0,1,-0.1695,-0.07917,0.09033,2.9952
OJURUI,0,1,-0.1952,-0.0944,0.1008,8.9221
OJUSAP,0,1,-0.18647,-0.09242,0.09405,7.6614
OJUSIX,0,1,-0.18304,-0.08908,0.09396,7.5516
OJUWAR,1,1,-0.27814,-0.18909,0.08905,2.2916
OJUWIZ,1,1,-0.25251,-0.17867,0.07384,1.9744
OKADUB,0,1,-0.19513,-0.1234,0.07173,3.6677
OKEXUZ,0,1,-0.21403,-0.12544,0.08859,8.5832
OKIYOY,0,1,-0.19719,-0.10084,0.09635,11.6324
OKOQIO,0,1,-0.1801,-0.08001,0.10009,0.0594
OKOREL,0,1,-0.17619,-0.08062,0.09557,0.1555
OLESUT,0,1,-0.16959,-0.11294,0.05665,13.2427
OLUCOP,0,1,-0.18329,-0.10564,0.07765,19.1606
OLUNIT,0,1,-0.20247,-0.03218,0.17029,9.6282
OLUNOZ,0,1,-0.20344,-0.02546,0.17798,9.5885
OLUNUF,0,1,-0.2071,-0.06866,0.13844,7.5071
OLUPAN,0,1,-0.20471,-0.05402,0.15069,7.8921
OLUPER,0,1,-0.20199,-0.03395,0.16804,7.2354
OLUPIV,0,1,-0.22955,-0.10271,0.12684,9.9467
OLUPOB,0,1,-0.23007,-0.10398,0.12609,10.2752
OLUPUH,0,1,-0.21908,-0.08793,0.13115,10.593
OLUQAO,0,1,-0.22832,-0.09851,0.12981,7.4258
OLUQES,0,1,-0.22462,-0.1012,0.12342,7.6216
OLUXEZ,1,1,-0.26218,-0.19323,0.06895,1.1504
OMAWUW,1,1,-0.28624,-0.21616,0.07008,3.8312
OMAZUZ,0,1,-0.22168,-0.12426,0.09742,9.4123
OMEFOD,0,1,-0.1861,-0.10593,0.08017,0.0046
OMEYUA,0,1,-0.19526,-0.12744,0.06782,5.6018
OMIFEX,0,1,-0.14788,-0.08369,0.06419,7.4586
OMIFIB,0,1,-0.151,-0.08701,0.06399,8.9226
OMODUR,0,1,-0.17454,-0.06868,0.10586,6.7095
OMOFAZ,0,1,-0.17368,-0.07587,0.09781,3.859
OMUDEH,0,1,-0.16714,-0.0729,0.09424,0.114
ONABEM,0,1,-0.17189,-0.08813,0.08376,10.8818
ONABIQ,0,1,-0.17281,-0.08964,0.08317,11.4341
ONABOW,0,1,-0.17401,-0.09314,0.08087,13.4154
ONACIR,0,1,-0.18782,-0.10759,0.08023,8.4647
ONEZOY,0,1,-0.18461,-0.10226,0.08235,8.7477
ONEZUE,0,1,-0.18753,-0.10556,0.08197,7.3321
ONIBAQ,0,1,-0.18791,-0.10611,0.0818,7.2282
ONIBEU,0,1,-0.17805,-0.0939,0.08415,11.8998
ONIYIU,0,1,-0.19172,-0.05191,0.13981,5.6507
OPUHIS,0,1,-0.16744,-0.07922,0.08822,10.4612
OQISOX,0,1,-0.21272,-0.12211,0.09061,0.3505
OQITAK,0,1,-0.19269,-0.12316,0.06953,2.9862
OREDEW,0,1,-0.20067,-0.10879,0.09188,4.1859
OROJUB,0,1,-0.17073,-0.08324,0.08749,0.0394
ORUHIT,1,1,-0.34717,-0.14715,0.20002,0.0076
ORUHOZ,1,1,-0.33849,-0.15974,0.17875,0.0127
OSALEA,1,1,-0.31205,-0.2092,0.10285,8.0268
OSEHIF,0,1,-0.20637,-0.13367,0.0727,11.2916
OSIPIR,0,1,-0.17216,-0.09032,0.08184,3.8415
OSOHEL,1,1,-0.29103,-0.14554,0.14549,0.0002
OSOJEN,0,1,-0.17799,-0.03284,0.14515,12.4881
OTAGIA,0,1,-0.17829,-0.07667,0.10162,1.0862
OTAQIL,1,1,-0.29457,-0.14327,0.1513,5.3803
OTEFEZ,0,1,-0.21174,-0.12797,0.08377,9.5199
OTEFID,0,1,-0.21986,-0.12695,0.09291,9.5429
OTEFOJ,0,1,-0.2021,-0.12522,0.07688,11.4195
OTETEN,0,1,-0.19773,-0.10934,0.08839,8.4014
OTETIR,0,1,-0.20117,-0.11184,0.08933,9.3824
OTETOX,0,1,-0.21115,-0.11918,0.09197,8.8355
OTETUD,0,1,-0.21009,-0.11756,0.09253,7.686
OTEVAL,0,1,-0.20439,-0.11318,0.09121,9.5371
OTEVIT,0,1,-0.20314,-0.1121,0.09104,8.4985
OTEVOZ,0,1,-0.20696,-0.11441,0.09255,8.8691
OTEYUJ,0,1,-0.17363,-0.07859,0.09504,1.0968
OTIDUS,0,1,-0.19567,-0.08387,0.1118,4.1431
OTIGIJ,0,1,-0.16707,-0.09331,0.07376,2.4374
OTIWEU,0,1,-0.15871,-0.03876,0.11995,12.9743
OTIWIY,0,1,-0.14289,-0.03103,0.11186,8.7607
OTIXUM,0,1,-0.13621,-0.0918,0.04441,2.3837
OTIYAT,0,1,-0.17187,-0.02743,0.14444,0.604
OTIYIB,0,1,-0.17547,-0.08901,0.08646,12.8447
OTULEV,0,1,-0.18574,-0.07723,0.10851,2.9927
OTULOF,1,1,-0.31983,-0.22625,0.09358,6.1461
OVEPEL,0,1,-0.17692,-0.10627,0.07065,3.6888
OVEPIP,0,1,-0.17411,-0.10417,0.06994,2.7113
OVEPOV,0,1,-0.16975,-0.10069,0.06906,3.4128
OVEPUB,0,1,-0.17934,-0.10401,0.07533,2.2839
OVEQAI,1,1,-0.31547,-0.2117,0.10377,11.0987
OVEQEM,1,1,-0.31897,-0.21343,0.10554,11.5496
OVERUD,0,1,-0.20398,-0.10645,0.09753,8.5625
OVUFUI,1,1,-0.27564,-0.1995,0.07614,2.3096
OVUGET,1,1,-0.28012,-0.19587,0.08425,2.4101
OWACEW,0,1,-0.16182,-0.07076,0.09106,0.0156
OWACIA,0,1,-0.16922,-0.07055,0.09867,0.0032
OWAJIG,0,1,-0.17838,-0.1043,0.07408,16.1873
OWESAM,0,1,-0.18814,-0.0841,0.10404,3.0308
OWODEK,0,1,-0.19421,-0.10258,0.09163,0.0278
OWODIO,0,1,-0.17805,-0.0886,0.08945,0.6797
OWODOU,0,1,-0.17989,-0.08866,0.09123,0.1978
OWODUA,0,1,-0.18834,-0.09769,0.09065,8.0475
OWOSOJ,1,1,-0.24095,-0.20799,0.03296,17.6408
OXIPER,1,1,-0.30596,-0.16122,0.14474,0.3684
OXIPIV,1,1,-0.26461,-0.16997,0.09464,2.4173
OXONEV,0,1,-0.1855,-0.06964,0.11586,5.4379
OXONIZ,0,1,-0.1865,-0.07699,0.10951,6.6303
OYAZEU,0,1,-0.17496,-0.05922,0.11574,6.4649
OYINOA,0,1,-0.14589,-0.09706,0.04883,0.5602
OYOBUB,0,1,-0.19014,-0.0971,0.09304,0.0003
OYOCEM,0,1,-0.19977,-0.10985,0.08992,0.0032
OYOKOD,1,1,-0.28225,-0.15918,0.12307,6.5816
OZAFEC,0,1,-0.19389,-0.07657,0.11732,3.0167
OZAHAA,0,1,-0.19732,-0.0932,0.10412,7.1508
OZEKAG,0,1,-0.20761,-0.04283,0.16478,9.9275
OZEROB,0,1,-0.18583,-0.10151,0.08432,11.3225
OZILEP,1,1,-0.27797,-0.18215,0.09582,3.6399
PABYUN,0,1,-0.20342,-0.11576,0.08766,8.6669
PACFEF,0,1,-0.18913,-0.0955,0.09363,3.954
PAFFIN,1,1,-0.29339,-0.15052,0.14287,0.927
PAGMNT,1,1,-0.3242,-0.16433,0.15987,0.7219
PAHTAW,0,1,-0.21783,-0.12194,0.09589,9.3353
PAHTEA,0,1,-0.20851,-0.07885,0.12966,9.3686
PALDEN,0,1,-0.18191,-0.09374,0.08817,1.3626
PALFAL,0,1,-0.18119,-0.09297,0.08822,0.87
PALZOS,0,1,-0.16747,-0.07697,0.0905,13.3009
PALZUY,0,1,-0.16643,-0.07551,0.09092,12.9991
PANMEY,0,1,-0.15629,-0.04481,0.11148,3.4849
PANMIC,0,1,-0.16905,-0.0501,0.11895,6.6273
PANVOS,1,1,-0.29169,-0.18943,0.10226,11.0777
PANVUY,1,1,-0.30746,-0.17346,0.134,5.3029
PAQPUV,0,1,-0.15043,-0.09866,0.05177,0.004
PAQQAC,0,1,-0.18242,-0.10744,0.07498,0.022
PARYUF,0,1,-0.20203,-0.07696,0.12507,4.102
PATQAC,1,1,-0.30115,-0.2206,0.08055,25.3179
PAVKUS,0,1,-0.18715,-0.10343,0.08372,7.7978
PAWYOE,1,1,-0.3126,-0.15239,0.16021,0.0001
PAXFIG,1,1,-0.2866,-0.22086,0.06574,6.2703
PAXFOM,1,1,-0.28626,-0.21632,0.06994,4.0993
PAXGEB,0,1,-0.20582,-0.13691,0.06891,12.0057
PAYCUN,0,1,-0.19104,-0.11874,0.0723,8.6819
PAYKEH,0,1,-0.18782,-0.09127,0.09655,9.175
PAYSUG,0,1,-0.20304,-0.05993,0.14311,2.9348
PAYTAN,0,1,-0.19859,-0.04847,0.15012,3.8855
PAYTER,0,1,-0.18387,-0.0869,0.09697,3.7948
PAYTIV,0,1,-0.19375,-0.05818,0.13557,2.8888
PAYTOB,0,1,-0.19618,-0.08564,0.11054,2.0246
PAYTUH,0,1,-0.20412,-0.07599,0.12813,9.6682
PAZXAQ,0,1,-0.16765,-0.07418,0.09347,0.3993
PAZXEU,0,1,-0.16939,-0.0785,0.09089,1.1882
PAZXEV,0,1,-0.24569,-0.12106,0.12463,10.4451
PDTPOR,0,1,-0.18427,-0.09195,0.09232,0.0004
PEDYUU,0,1,-0.18369,-0.07777,0.10592,3.8648
PEFWOP,0,1,-0.2061,-0.08657,0.11953,7.7752
PEFWUV,0,1,-0.20448,-0.08695,0.11753,6.9251
PEFXEG,0,1,-0.20147,-0.04603,0.15544,10.4314
PEGNAS,-1,1,-0.07254,0.03191,0.10445,11.1408
PEGNEW,-1,1,-0.0716,0.03361,0.10521,8.2301
PEGXOP,1,1,-0.30869,-0.21269,0.096,6.1968
PEHJAQ,0,1,-0.21405,-0.07098,0.14307,8.1319
PEHJEU,0,1,-0.21678,-0.07032,0.14646,7.4374
PEHKAR,1,1,-0.32014,-0.21718,0.10296,9.798
PEHKIZ,1,1,-0.31281,-0.20699,0.10582,8.3794
PEHKUL,1,1,-0.32249,-0.22115,0.10134,9.9713
PEKSEE,0,1,-0.18871,-0.09076,0.09795,3.0787
PEKTEF,0,1,-0.18759,-0.08271,0.10488,3.3505
PEKTOP,0,1,-0.18652,-0.08615,0.10037,3.8731
PEKZEM,0,1,-0.21164,-0.09217,0.11947,10.2558
PELWEL,1,1,-0.29356,-0.21049,0.08307,8.9481
PEMHOF,0,1,-0.17004,-0.06212,0.10792,2.3272
PEMJIC,0,1,-0.1635,-0.11147,0.05203,7.3049
PEMJOI,0,1,-0.1552,-0.10081,0.05439,11.4038
PENJIC,1,1,-0.2905,-0.13893,0.15157,2.7158
PEPVIR,0,1,-0.18758,-0.07793,0.10965,0.0137
PEPVOX,0,1,-0.18411,-0.10597,0.07814,6.4108
PERNUY,0,1,-0.16793,-0.09014,0.07779,9.107
PERPAG,0,1,-0.16761,-0.08782,0.07979,9.0224
PERPIO,0,1,-0.17171,-0.09082,0.08089,11.4875
PERPOU,0,1,-0.18389,-0.09673,0.08716,14.7365
PERYET,0,1,-0.17379,-0.08663,0.08716,8.7035
PERYUJ,0,1,-0.17699,-0.08597,0.09102,11.4934
PETGOM,0,1,-0.16455,-0.04709,0.11746,10.6433
PETHEB,0,1,-0.17741,-0.0971,0.08031,4.5055
PEVHUV,0,1,-0.19951,-0.08303,0.11648,8.6202
PICTIH,0,1,-0.18582,-0.10026,0.08556,11.4685
PIDNIA,0,1,-0.16691,-0.06846,0.09845,0.2651
PIDNOG,0,1,-0.17847,-0.06713,0.11134,0.0011
PIGQIH,0,1,-0.20809,-0.11604,0.09205,9.1183
PIGWOT,0,1,-0.21069,-0.11181,0.09888,4.1485
PIJBUH,0,1,-0.17228,-0.12034,0.05194,8.8997
PIJCAO,0,1,-0.17143,-0.12033,0.0511,9.1635
PIJWEK,0,1,-0.17184,-0.13872,0.03312,2.1493
PILCOD,0,1,-0.2047,-0.10709,0.09761,9.8837
PIMDOH,0,1,-0.19026,-0.08374,0.10652,3.7441
PIMTOX,1,1,-0.28937,-0.16092,0.12845,0.1112
PIMVAL,0,1,-0.2193,-0.09675,0.12255,11.2665
PINKOO,0,1,-0.17549,-0.08424,0.09125,2.4195
PINKUU,0,1,-0.16985,-0.08111,0.08874,4.1899
PINLAB,0,1,-0.1675,-0.08035,0.08715,4.4785
PIQBIC,0,1,-0.21279,-0.17228,0.04051,6.1721
PIQMEJ,0,1,-0.18217,-0.09987,0.0823,4.7217
PIQMIN,0,1,-0.18182,-0.09608,0.08574,3.8672
PIQSOA,0,1,-0.19105,-0.09195,0.0991,10.6966
PIQSUG,0,1,-0.22313,-0.11266,0.11047,7.7133
PIQTAN,0,1,-0.21785,-0.08257,0.13528,5.5091
PIQTER,0,1,-0.18909,-0.07583,0.11326,8.4936
PITTER,0,1,-0.18745,-0.09898,0.08847,10.638
PITWAQ,1,1,-0.33058,-0.22593,0.10465,10.7906
PIVMAK,0,1,-0.18123,-0.11299,0.06824,2.4261
PIVNOZ,0,1,-0.16931,-0.10183,0.06748,5.4607
PIWTOF,0,1,-0.17211,-0.06389,0.10822,2.0629
PIYKOY,1,1,-0.2574,-0.2292,0.0282,8.6147
PIYVIF,0,1,-0.16292,-0.05465,0.10827,6.6233
POFQOT,1,1,-0.28171,-0.16328,0.11843,2.3516
POFQUZ,1,1,-0.28656,-0.16846,0.1181,2.754
POFRAG,1,1,-0.28315,-0.16614,0.11701,2.8852
POHCOF,0,1,-0.18203,-0.07256,0.10947,4.0979
POHCUL,0,1,-0.18327,-0.0866,0.09667,3.5066
POJDEA,1,1,-0.27108,-0.16748,0.1036,2.6097
POJDOK,1,1,-0.26898,-0.1676,0.10138,5.8553
POJDUQ,1,1,-0.27312,-0.17089,0.10223,2.8049
POJFAY,1,1,-0.27133,-0.16545,0.10588,2.5606
POKBAU,0,1,-0.21529,-0.13938,0.07591,7.6387
POKSIS,0,1,-0.17929,-0.08045,0.09884,2.3691
POKSOY,0,1,-0.18283,-0.08325,0.09958,2.4523
POLPEN,0,1,-0.18097,-0.09547,0.0855,3.5233
POLPIR,0,1,-0.18258,-0.09682,0.08576,3.6832
PONZOK,0,1,-0.15896,-0.06572,0.09324,3.3992
PONZUQ,0,1,-0.16722,-0.07655,0.09067,2.3571
POQTIA,0,1,-0.17133,-0.07747,0.09386,3.4668
PORCIK,0,1,-0.21576,-0.08134,0.13442,4.9501
PORJUC,0,1,-0.17401,-0.10487,0.06914,12.2986
PORKAJ,0,1,-0.17418,-0.10763,0.06655,12.6882
POSHUB,0,1,-0.18627,-0.05365,0.13262,8.7415
POSQOF,0,1,-0.19375,-0.06521,0.12854,3.9267
POVVAZ,0,1,-0.21397,-0.10206,0.11191,9.7688
POWVON,0,1,-0.20176,-0.09549,0.10627,6.7312
POWYEF,1,1,-0.2873,-0.19816,0.08914,3.6046
POWYIJ,0,1,-0.1592,-0.04802,0.11118,5.9799
POXQAX,0,1,-0.19989,-0.02949,0.1704,9.3658
POXRIE,0,1,-0.19222,-0.11186,0.08036,0.2411
POYFAK,0,1,-0.17239,-0.09839,0.074,14.054
POYHIV,1,1,-0.32386,-0.19885,0.12501,0.005
POYHOB,1,1,-0.31367,-0.20106,0.11261,0.0018
POYZAF,0,1,-0.19223,-0.10539,0.08684,14.1996
PUBKIH,0,1,-0.17778,-0.07506,0.10272,0.5181
PUBKUT,0,1,-0.1864,-0.08689,0.09951,0.4602
PUCKIJ,0,1,-0.19847,-0.05472,0.14375,0.2727
PUCMOR,0,1,-0.19769,-0.11054,0.08715,10.0268
PUFQEM,0,1,-0.18935,-0.10702,0.08233,13.6538
PUMBOQ,0,1,-0.15999,-0.05673,0.10326,4.5282
PUMKEN,1,1,-0.31847,-0.21238,0.10609,3.5571
